pathway	pval	padj	log2err	ES	NES	size	leadingEdge
41	KEGG_AXON_GUIDANCE	0.181818181818182	0.517581583607387	0.140406238523342	0.322824133734068	1.18726268486176	77	c("EFNA1", "PLXNB1", "SEMA6B", "UNC5B", "EPHA4", "RND1", "NCK2", "PPP3CC", "ABLIM3", "CFL2", "SEMA3F", "SEMA4C", "EFNB1", "PPP3CA", "SRGAP1", "SEMA4B", "SEMA5A", "KRAS", "EPHA2", "RHOD", "NFATC1", "PAK2", "MET", "SEMA6D", "SEMA6C", "ABL1", "SEMA4G")
42	KEGG_TGF_BETA_SIGNALING_PATHWAY	0.186440677966102	0.517581583607387	0.138022242496643	0.343715433352501	1.18022072675037	55	c("FST", "MYC", "SMAD6", "ID2", "BMP2")
43	KEGG_HOMOLOGOUS_RECOMBINATION	0.268101761252446	0.591668770512497	0.114750719227023	0.453097734354291	1.17970579259822	15	c("RPA2", "BLM", "POLD2", "NBN", "POLD3", "RPA1", "POLD1")
44	KEGG_GLYCEROLIPID_METABOLISM	0.24950495049505	0.565950253561942	0.120433371642259	0.392371363235067	1.16424671693674	28	c("TKFC", "LPL", "AKR1B1", "ALDH1B1", "DGKH", "LIPG", "GK", "GLA")
45	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.241904761904762	0.555485008818342	0.119887845115423	0.358296947176702	1.15454586908776	38	c("LAMA2", "DES", "ITGA7", "ITGA10", "DSP", "SGCB", "JUP", "ITGA3", "ITGA2B", "ITGA6", "CACNG5", "ACTN4", "ITGA9", "CTNNA1", "CACNA2D2", "ITGB4", "ACTN1")
46	KEGG_P53_SIGNALING_PATHWAY	0.269662921348315	0.591668770512497	0.11146266692298	0.345304382806779	1.13119838368777	43	c("GADD45A", "CDKN1A", "GADD45G", "SESN2", "SERPINE1", "GTSE1", "GADD45B", "SIAH1", "CCND3", "BBC3")
47	KEGG_STARCH_AND_SUCROSE_METABOLISM	0.309885931558935	0.604768786127168	0.103576326612592	0.399904852920932	1.12482207063129	22	c("PYGL", "PYGB", "GPI", "UGP2", "GAA", "GYS2", "GANC", "UGT1A1")
48	KEGG_DILATED_CARDIOMYOPATHY	0.289719626168224	0.604768786127168	0.106729884364606	0.34286143300209	1.11715549620247	42	c("LAMA2", "DES", "ITGA7", "ITGA10", "TPM2", "ADCY8", "SGCB", "ITGA3", "ITGA2B", "ITGA6", "CACNG5", "ADCY1")
49	KEGG_ECM_RECEPTOR_INTERACTION	0.280534351145038	0.599006256900994	0.110122263835536	0.335259776514185	1.11309610726281	47	c("LAMA2", "LAMB2", "ITGA7", "ITGA10", "COL6A2", "LAMA5", "LAMC1", "ITGA3", "ITGA2B", "ITGA6", "SDC4", "THBS1", "HMMR", "THBS2", "ITGA9", "COL1A1")
50	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.312138728323699	0.604768786127168	0.103958471559957	0.35460517931302	1.10216050042079	34	c("PCK1", "PFKM", "PKLR", "GPI", "ALDH1B1", "PFKL", "ALDH1A3", "ALDOA", "PCK2", "ENO3", "PGK1", "FBP1", "ALDOB")
51	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.386587771203156	0.691397360036413	0.0925528864684773	0.477801147328359	1.08993528701693	9	c("AKR1B1", "UGP2", "UGT1A1", "XYLB", "GUSB", "DCXR")
