nodeName	altName	nodeAttr[nodesPresent, ]
NPHP4	NA	red
NPM1	NA	red
NR1D2	NA	red
NR1H3	NA	red
NR1I3	NA	red
NR2C2	NA	red
NR5A2	NA	red
NRBP2	NA	red
NRDC	NA	red
NRIP1	NA	red
NSD3	NA	red
NT5C3A	NA	red
NUDT4	NA	red
NUDT7	NA	red
NUFIP1	NA	red
NUP153	NA	red
NUP50	NA	red
NUP54	NA	red
NUP58	NA	red
NUP88	NA	red
NUP98	NA	red
OAS3	NA	red
OFD1	NA	red
OGFOD1	NA	red
ORC4	NA	red
OSBPL8	NA	red
OSER1	NA	red
OSGIN2	NA	red
OTUD4	NA	red
OTUD7B	NA	red
OXSM	NA	red
P4HA1	NA	red
PACSIN2	NA	red
PALS1	NA	red
PAOX	NA	red
PAPOLA	NA	red
PAPOLG	NA	red
PARD3	NA	red
PARG	NA	red
PARP3	NA	red
PARP6	NA	red
PARP8	NA	red
PARS2	NA	red
PARVB	NA	red
PATL1	NA	red
PBRM1	NA	red
PCBP2	NA	red
PCBP4	NA	red
PCED1A	NA	red
PCGF3	NA	red
PCGF5	NA	red
PCGF6	NA	red
PCIF1	NA	red
PCLAF	NA	red
PCM1	NA	red
PCNX1	NA	red
PCSK6	NA	red
PCSK7	NA	red
PDE8A	NA	red
PDHX	NA	red
PDPK1	NA	red
PDS5A	NA	red
PDXK	NA	red
PDXP	NA	red
PER1	NA	red
PEX26	NA	red
PFN1	NA	red
PGAP3	NA	red
PGLS	NA	red
PHACTR2	NA	red
PHC3	NA	red
PHF10	NA	red
PHF20L1	NA	red
PHF23	NA	red
PHF3	NA	red
PHF8	NA	red
PHIP	NA	red
PHKA1	NA	red
PIAS1	NA	red
PIGO	NA	red
PIK3C2A	NA	red
PIK3CA	NA	red
PIK3IP1	NA	red
PIP4K2B	NA	red
PIP5K1A	NA	red
PITPNC1	NA	red
PLBD2	NA	red
PLCB1	NA	red
PLCB3	NA	red
PLEKHA3	NA	red
PLEKHA6	NA	red
PLK3	NA	red
PLK5	NA	red
PLLP	NA	red
PNKD	NA	red
PNRC2	NA	red
POLA2	NA	red
POLL	NA	red
POLR3GL	NA	red
PON1	NA	red
PON3	NA	red
POP5	NA	red
POP7	NA	red
PPARA	NA	red
PPARGC1A	NA	red
PPAT	NA	red
PPCS	NA	red
PPFIA1	NA	red
PPFIBP2	NA	red
PPIL4	NA	red
PPM1D	NA	red
PPM1F	NA	red
PPM1M	NA	red
PPP1CC	NA	red
PPP1R12A	NA	red
PPP1R15A	NA	red
PPP1R15B	NA	red
PPP1R16A	NA	red
PPP1R8	NA	red
PPP2R2A	NA	red
PPP3CB	NA	red
PPP3R1	NA	red
PPP4R1	NA	red
PPP4R2	NA	red
PPP4R3A	NA	red
PPP6R3	NA	red
PRCP	NA	red
PRDM11	NA	red
PRDM2	NA	red
PREB	NA	red
PRKAA1	NA	red
PRKAB1	NA	red
PRKAG2	NA	red
PRMT3	NA	red
PROB1	NA	red
PRPF3	NA	red
PRPF40B	NA	red
PRPF4B	NA	red
PRR16	NA	red
PSD3	NA	red
PSIP1	NA	red
PSME3IP1	NA	red
PSTPIP2	NA	red
PTBP1	NA	red
PTBP3	NA	red
PTCH1	NA	red
PTDSS1	NA	red
PTGER2	NA	red
PTGES3	NA	red
PTMA	NA	red
PTP4A1	NA	red
PTP4A2	NA	red
PTPMT1	NA	red
PTPN11	NA	red
PTPN12	NA	red
PTPN4	NA	red
PTPRB	NA	red
PTPRC	NA	red
PUM1	NA	red
PUM2	NA	red
PURB	NA	red
PURG	NA	red
PWWP3A	NA	red
QKI	NA	red
RAB11B	NA	red
RAB1A	NA	red
RAB33B	NA	red
RAB3GAP2	NA	red
RAB5A	NA	red
RAB6A	NA	red
RAB7A	NA	red
RABEP2	NA	red
RABGEF1	NA	red
RABL2B	NA	red
RAC1	NA	red
RAD1	NA	red
RAD17	NA	red
RALGAPB	NA	red
RALGPS2	NA	red
RAMP2	NA	red
RANBP9	NA	red
RAP1B	NA	red
RAP2B	NA	red
RAPGEF5	NA	red
RARA	NA	red
RASA1	NA	red
RASGRP1	NA	red
RASSF1	NA	red
RB1	NA	red
RBAK	NA	red
RBBP7	NA	red
RBM12B	NA	red
RBM14	NA	red
RBM15	NA	red
RBM19	NA	red
RBM22	NA	red
RBM23	NA	red
RBM27	NA	red
RBM39	NA	red
RBM4	NA	red
RBM47	NA	red
RBM48	NA	red
RBM4B	NA	red
RBM7	NA	red
RBP4	NA	red
RBPJ	NA	red
RC3H2	NA	red
RCBTB1	NA	red
RCHY1	NA	red
RCL1	NA	red
RDH13	NA	red
REEP6	NA	red
RELA	NA	red
RELCH	NA	red
RERE	NA	red
RETREG1	NA	red
RFXAP	NA	red
RGS14	NA	red
RHBDD1	NA	red
RHNO1	NA	red
RHPN2	NA	red
RIC1	NA	red
RICTOR	NA	red
RILP	NA	red
RIOK2	NA	red
RIOK3	NA	red
RLF	NA	red
RLIM	NA	red
RMDN2	NA	red
RMND5B	NA	red
RNF103	NA	red
RNF111	NA	red
RNF138	NA	red
RNF146	NA	red
RNF152	NA	red
RNF168	NA	red
RNF19A	NA	red
RNF20	NA	red
RNF216	NA	red
RNF26	NA	red
RNF41	NA	red
RNF6	NA	red
RNFT1	NA	red
RNLS	NA	red
RNMT	NA	red
RNPC3	NA	red
ROCK2	NA	red
ROGDI	NA	red
RORC	NA	red
RPAP1	NA	red
RPAP2	NA	red
RPL13	NA	red
RPL5	NA	red
RPS6KA2	NA	red
RPS6KA5	NA	red
RPS6KB1	NA	red
RRAGC	NA	red
RRN3	NA	red
RRP15	NA	red
RRP9	NA	red
RSAD1	NA	red
RSBN1	NA	red
RSF1	NA	red
RSRC2	NA	red
RTL6	NA	red
RTN4RL1	NA	red
RTP4	NA	red
RUNDC1	NA	red
RXRA	NA	red
RXRB	NA	red
RYBP	NA	red
SAMD4B	NA	red
SAMD8	NA	red
SARDH	NA	red
SARS2	NA	red
SBNO1	NA	red
SCAF1	NA	red
SCAF11	NA	red
SCAF8	NA	red
SCAMP4	NA	red
SCAMP5	NA	red
SCARA5	NA	red
SCLT1	NA	red
SCN7A	NA	red
SDC2	NA	red
SDCBP	NA	red
SDHAF2	NA	red
SEH1L	NA	red
SELENOF	NA	red
SELENOT	NA	red
SENP1	NA	red
SENP2	NA	red
SENP6	NA	red
SEPSECS	NA	red
SEPTIN9	NA	red
SESN3	NA	red
SETD2	NA	red
SETD7	NA	red
SF3A2	NA	red
SF3B1	NA	red
SFMBT1	NA	red
SFPQ	NA	red
SGK2	NA	red
SGMS2	NA	red
SGPL1	NA	red
SGPP1	NA	red
SGTA	NA	red
SH3BGRL2	NA	red
SH3PXD2B	NA	red
SHB	NA	red
SIAH1	NA	red
SIGMAR1	NA	red
SIK2	NA	red
SIPA1	NA	red
SIRT1	NA	red
SIRT5	NA	red
SKIL	NA	red
SLA	NA	red
SLBP	NA	red
SLC16A10	NA	red
SLC16A12	NA	red
SLC17A2	NA	red
SLC18A2	NA	red
SLC19A3	NA	red
SLC1A5	NA	red
SLC22A4	NA	red
SLC25A11	NA	red
SLC25A32	NA	red
SLC25A42	NA	red
SLC25A51	NA	red
SLC26A2	NA	red
SLC2A5	NA	red
SLC35B3	NA	red
SLC35B4	NA	red
SLC35C1	NA	red
SLC37A3	NA	red
SLC38A2	NA	red
SLC39A6	NA	red
SLC44A1	NA	red
SLC44A2	NA	red
SLC6A11	NA	red
SLC7A2	NA	red
SLC7A5	NA	red
SLC9A6	NA	red
SLC9A8	NA	red
SLK	NA	red
SLX4	NA	red
SMAD1	NA	red
SMAD4	NA	red
SMAD5	NA	red
SMAP2	NA	red
SMARCA5	NA	red
SMC1A	NA	red
SMC3	NA	red
SMG1	NA	red
SMG6	NA	red
SMIM12	NA	red
SMIM15	NA	red
SMIM20	NA	red
SMPD2	NA	red
SMTNL2	NA	red
SMURF2	NA	red
SMYD2	NA	red
SNAPC2	NA	red
SNIP1	NA	red
SNRK	NA	red
SNRNP40	NA	red
SNRPA1	NA	red
SNRPD3	NA	red
SNTB1	NA	red
SNX5	NA	red
SOS2	NA	red
SOX13	NA	red
SP3	NA	red
SP5	NA	red
SPAG9	NA	red
SPART	NA	red
SPEN	NA	red
SPIN1	NA	red
SPIRE2	NA	red
SPOP	NA	red
SPOPL	NA	red
SPOUT1	NA	red
SPRED1	NA	red
SPRTN	NA	red
SPRY4	NA	red
SPTY2D1	NA	red
SREK1	NA	red
SRM	NA	red
SS18	NA	red
SS18L1	NA	red
SSH2	NA	red
SSU72	NA	red
ST3GAL1	NA	red
ST8SIA4	NA	red
STAG1	NA	red
STAM	NA	red
STARD3	NA	red
STARD8	NA	red
STAT6	NA	red
STAU2	NA	red
STIM2	NA	red
STK16	NA	red
STK17B	NA	red
STK25	NA	red
STK3	NA	red
STK38	NA	red
STPG3	NA	red
STRADA	NA	red
STRN3	NA	red
STX18	NA	red
STXBP5L	NA	red
STYX	NA	red
SUFU	NA	red
SUGP1	NA	red
SUGP2	NA	red
SUMO2	NA	red
SUPT6H	NA	red
SZT2	NA	red
TADA1	NA	red
TADA3	NA	red
TAF1	NA	red
TAF2	NA	red
TAF5L	NA	red
TAF7	NA	red
TAF9	NA	red
TANGO2	NA	red
TAOK1	NA	red
TAS2R3	NA	red
TASL	NA	red
TASOR2	NA	red
TBC1D12	NA	red
TBC1D15	NA	red
TBC1D20	NA	red
TBC1D7	NA	red
TBP	NA	red
TBPL1	NA	red
TBRG4	NA	red
TBX19	NA	red
TCEAL1	NA	red
TCF20	NA	red
TCTN3	NA	red
TDO2	NA	red
TELO2	NA	red
TENT4B	NA	red
TENT5A	NA	red
TERF2IP	NA	red
TESK2	NA	red
TEX19	NA	red
TFE3	NA	red
TGFBR3	NA	red
TGOLN2	NA	red
