nodeName	altName	nodeAttr[nodesPresent, ]
EEF1AKMT3	NA	red
EEFSEC	NA	red
EEPD1	NA	red
EFNA1	NA	red
EFNB1	NA	red
EGFR	NA	red
EHMT2	NA	red
EIF1	NA	red
EIF1B	NA	red
EIF2AK1	NA	red
EIF2S2	NA	red
EIF3A	NA	red
EIF4B	NA	red
EIF4EBP2	NA	red
EIF4EBP3	NA	red
EIF4ENIF1	NA	red
EIF5	NA	red
EIF5A2	NA	red
EIF5B	NA	red
EIPR1	NA	red
ELAVL1	NA	red
ELF1	NA	red
ELK1	NA	red
ELK4	NA	red
ELOA	NA	red
ELP2	NA	red
ELP3	NA	red
EME2	NA	red
EMSY	NA	red
ENSA	NA	red
ENTPD4	NA	red
EP300	NA	red
EPB41L2	NA	red
EPB41L4B	NA	red
EPC1	NA	red
EPC2	NA	red
EPG5	NA	red
EPHA3	NA	red
EPHB4	NA	red
EPM2A	NA	red
EPM2AIP1	NA	red
EPN1	NA	red
EPRS1	NA	red
EPS8L2	NA	red
ERBIN	NA	red
ERCC2	NA	red
ERCC5	NA	red
ERGIC2	NA	red
ERI1	NA	red
ERLIN1	NA	red
ERMARD	NA	red
ESCO1	NA	red
ESRP2	NA	red
ESS2	NA	red
ETNK1	NA	red
ETS1	NA	red
ETS2	NA	red
ETV3	NA	red
EVI2B	NA	red
EVI5L	NA	red
EXD1	NA	red
EXOC2	NA	red
EXOC3L1	NA	red
EXOC3L2	NA	red
EXOC5	NA	red
EXOC8	NA	red
EXTL1	NA	red
F8	NA	red
FADD	NA	red
FAM117A	NA	red
FAM117B	NA	red
FAM118A	NA	red
FAM120B	NA	red
FAM133B	NA	red
FAM13B	NA	red
FAM204A	NA	red
FAM210A	NA	red
FAM221A	NA	red
FAM32A	NA	red
FAM3C	NA	red
FAM76B	NA	red
FAM89A	NA	red
FANCD2	NA	red
FARP1	NA	red
FARS2	NA	red
FBP1	NA	red
FBXL14	NA	red
FBXL18	NA	red
FBXL8	NA	red
